"","tradetopicscore"
"1803",8879
"1804",3389
"1805",7917
"1806",2765
"1807",10117
"1808",2348
"1809",5125
"1810",12393
"1811",11123
"1812",4509
"1813",3250
"1814",5960
"1815",11707
"1816",3773
"1817",9610
"1818",3490
"1819",8926
"1820",5013
"1821",1094
"1822",8510
"1823",9522
"1824",3830
"1825",1283
"1826",6831
"1827",3217
"1828",6002
"1829",1285
"1830",6274
"1831",1492
"1832",717
"1833",11624
"1834",7887
"1835",9299
"1836",7675
"1837",4926
"1838",5888
"1839",11168
"1840",5986
"1841",6401
"1842",3415
"1843",11919
"1844",6167
"1845",2873
"1846",737
"1847",7540
"1848",11467
"1849",8165
"1850",6577
"1851",9815
"1852",12048
"1853",10561
"1854",8793
"1855",4667
"1856",6811
"1857",979
"1858",8439
"1859",10218
"1860",3607
"1861",10702
"1862",751
"1863",7609
"1864",10632
"1865",9603
"1866",11599
"1867",10569
"1868",3899
"1869",3334
"1870",4756
"1871",6978
"1872",11798
"1873",6342
"1874",1378
"1875",4217
"1876",7864
"1877",10737
"1878",698
"1879",4377
"1880",5485
"1881",5812
"1882",5273
"1883",277
"1884",166
"1885",3343
"1886",1821
"1887",3578
"1888",12086
"1889",8700
"1890",2362
"1891",6435
"1892",1127
"1893",3168
"1894",3302
"1895",10481
"1896",3737
"1897",2290
"1898",2340
"1899",9112
"1900",3970
"1901",3552
"1902",2977
"1903",11503
"1904",6088
"1905",4320
"1906",243
"1907",10178
"1908",7729
"1909",6874
"1910",12291
"1911",10579
"1912",2495
"1913",2393
"1914",7002
"1915",5157
"1916",5408
"1917",2816
"1918",3117
"1919",9779
"1920",2736
"1921",7957
"1922",11560
"1923",8361
"1924",8416
"1925",10912
"1926",11262
"1927",12253
"1928",2898
"1929",9184
"1930",3094
"1931",6604
"1932",4432
"1933",6260
"1934",12065
"1935",8672
"1936",723
"1937",7164
"1938",10934
"1939",3867
"1940",8659
"1941",4869
"1942",6154
"1943",4278
"1944",1371
"1945",6636
"1946",2403
"1947",5714
"1948",4376
"1949",3535
"1950",184
"1951",8260
"1952",6096
"1953",1748
"1954",1192
"1955",174
"1956",3520
"1957",5663
"1958",4100
"1959",12225
"1960",66
"1961",7588
"1962",9103
"1963",545
"1964",5874
"1965",7847
"1966",3878
"1967",9784
"1968",8844
"1969",5641
"1970",8813
"1971",4081
"1972",888
"1973",5144
"1974",4124
"1975",2199
"1976",56
"1977",7600
"1978",2677
"1979",3497
"1980",7518
"1981",9871
"1982",7385
"1983",11604
"1984",12573
"1985",10279
"1986",1234
"1987",5640
"1988",2979
"1989",2164
"1990",4646
"1991",5961
"1992",6583
"1993",8693
"1994",10325
"1995",781
"1996",7783
"1997",7463
"1998",11878
"1999",2078
"2000",3522
"2001",10421
"2002",10367
"2003",9312
"2004",4315
"2005",5096
"2006",5720
"2007",8284
"2008",3433
"2009",9887
"2010",10110
"2011",3941
"2012",2163
"2013",9829
"2014",7936
"2015",3246
"2016",5100
"2017",9218
"2018",1190
"2019",2505
"2020",1037
"2021",5701
"2022",3930
"2023",638
"2024",11517
"2025",7789
"2026",10175
"2027",2263
"2028",4175
"2029",180
"2030",5644
"2031",4513
"2032",733
"2033",3434
"2034",12154
"2035",7493
"2036",5632
"2037",3208
"2038",2316
"2039",4611
"2040",12125
"2041",10842
"2042",7763
"2043",1684
"2044",65
"2045",10037
"2046",3043
"2047",12267
"2048",6587
"2049",2782
"2050",12465
"2051",12117
"2052",5286
"2053",8967
"2054",10590
"2055",9058
"2056",892
"2057",6837
"2058",5027
"2059",4255
"2060",6624
"2061",5618
"2062",3411
"2063",7577
"2064",8598
"2065",11769
"2066",3141
"2067",7167
"2068",603
"2069",7902
"2070",11003
"2071",4722
"2072",11481
"2073",10604
"2074",6766
"2075",9213
"2076",9096
"2077",11500
"2078",1829
"2079",2616
"2080",894
"2081",1470
"2082",8169
"2083",3178
"2084",5062
"2085",9597
"2086",11758
"2087",6788
"2088",241
"2089",841
"2090",8331
"2091",10278
"2092",7731
"2093",10727
"2094",10606
"2095",1852
"2096",8838
"2097",8289
"2098",6036
"2099",4966
"2100",8421
"2101",9989
"2102",287
"2103",10294
"2104",191
"2105",3062
"2106",12544
"2107",10716
"2108",7484
"2109",5202
"2110",10734
"2111",4226
"2112",12002
"2113",7687
"2114",1909
"2115",8811
"2116",11292
"2117",8001
"2118",1339
"2119",3787
"2120",7966
"2121",1224
"2122",8794
"2123",2030
"2124",6566
"2125",9745
"2126",1693
"2127",7621
"2128",3590
"2129",9834
"2130",5095
"2131",1119
"2132",380
"2133",5666
"2134",8610
"2135",6051
"2136",7131
"2137",10661
"2138",1532
"2139",7587
"2140",1324
"2141",11450
"2142",7525
"2143",6058
"2144",11462
"2145",10875
"2146",9252
"2147",9612
"2148",8431
"2149",11665
"2150",6369
"2151",7903
"2152",3276
"2153",611
"2154",5793
"2155",12141
"2156",750
"2157",1570
"2158",11408
"2159",556
